user_id,involved_project_count,first_seen,last_seen,tenure_days,user_weight
00AMIsDGbxgRglDgHd5ZeZ8bkPQ2,3,2024-03-05 18:24:00,2024-09-26 19:56:00,206,1.584962500721156
00LIZnRCwKRw50OPr5DKZQBj3fd2,3,2023-06-20 18:40:00,2024-03-15 04:08:00,269,1.584962500721156
00ZwmhCVJHTe5qJxuSw4ROp6bMN2,1,2022-09-08 13:55:00,2022-09-08 13:55:00,1,1.0
00nG9ruqiKdHa8Ah5dW8ofjUvVz1,3,2023-06-09 17:24:00,2024-11-14 22:14:00,525,1.584962500721156
00pDfXQuxdhyw4gEMwFipYU6Pu53,2,2022-03-21 13:49:00,2022-04-04 12:49:00,14,1.0
00tYoKvPbKcZX4LJSJnc39oMjkm1,1,2024-09-23 21:22:00,2024-09-23 21:22:00,1,1.0
00v8MFTYRLb15hZexaS4gtEowMW2,1,2024-11-10 20:37:00,2024-11-10 21:20:00,1,1.0
0105d8Uu7WZyAvHM0WhL0SlbZ7B2,1,2022-03-28 06:39:00,2022-03-28 06:39:00,1,1.0
011cmt70fnNPARLvpQdt2gXu7iX2,5,2022-03-10 03:10:00,2022-03-26 17:40:00,17,2.321928094887362
014SaKImb8f0inERMnXxt9J45392,2,2022-03-20 12:38:00,2022-04-16 00:41:00,27,1.0
01FTIKqG6hZQAKkEWQ7g7QUSXwQ2,2,2022-01-29 06:16:00,2022-05-05 07:46:00,97,1.0
01JElmkFlpSuOBPgDha9HyJT1sY2,2,2022-04-06 09:33:00,2022-04-06 09:36:00,1,1.0
01LTBIFQhaSgwcgtWqYInue7ggH3,1,2023-03-10 19:19:00,2023-03-10 20:55:00,1,1.0
01PWsi89suYx4fhOZr7rvEHsOB92,2,2022-03-04 23:47:00,2022-03-25 07:46:00,21,1.0
021X97T7OyQ63UaewqqvviFeSX42,1,2022-07-11 18:34:00,2022-07-11 18:41:00,1,1.0
025Ob0EcR1YTvxoQobFSICAs0ao2,1,2022-03-23 13:09:00,2022-03-24 14:32:00,2,1.0
029U2fS3BuhBafjKKYYSei0Bynr2,1,2022-03-20 06:34:00,2022-03-20 06:34:00,1,1.0
02KewMiPUiPwqsALlIvRqO7G5oM2,2,2023-03-22 08:52:00,2023-09-20 08:51:00,182,1.0
02MWlIW5H4VD8wmcSYs020f2RUq1,3,2024-09-06 20:52:00,2024-10-02 00:54:00,26,1.584962500721156
02TtSxW2kDcVtYaYXWQvRzpmFHG3,1,2023-03-23 10:08:00,2023-03-23 11:57:00,1,1.0
02ZVsxkwcDcLalky4WC7sJCy0tJ3,1,2022-05-17 17:16:00,2022-05-17 18:14:00,1,1.0
02n5jlTEK4aqov26ihkIqPUHv3Q2,1,2024-11-10 19:28:00,2024-11-10 19:28:00,1,1.0
030F83PYdDbOcZjOdIElXNTw2Ro1,2,2022-04-04 15:39:00,2022-06-15 13:14:00,72,1.0
033UcGN5oohw26yPgycBSCj4fIh1,1,2023-04-18 05:17:00,2023-04-18 05:19:00,1,1.0
0371W4OyQRQObbpD1mBgFkbAY9C2,1,2024-06-28 06:28:00,2024-06-28 06:28:00,1,1.0
03H53zXvxtTCTecLwVx0PJEsxip1,2,2022-09-13 17:26:00,2022-09-13 18:20:00,1,1.0
03NNTTelq9bVlHaLwpZawE6AcH03,1,2023-10-12 22:25:00,2023-10-12 22:25:00,1,1.0
03Qt2LLiOEUOYuoVQHCDe4sJrBY2,1,2024-11-13 14:56:00,2024-11-13 14:56:00,1,1.0
03QybDithST9wUTPBgNX7tq3b132,2,2022-03-18 05:03:00,2022-03-18 10:09:00,1,1.0
03SOnYu59GVl25J1Hy6NJgAQtC32,1,2022-12-22 21:03:00,2022-12-22 21:03:00,1,1.0
03WwFEZ8mOMR5b00xk7v2ws4wEL2,1,2022-03-12 13:15:00,2022-03-14 15:33:00,3,1.0
03cS5UqOjiOUOZedhqBasZuHBfx2,1,2022-05-19 20:08:00,2022-06-10 21:17:00,23,1.0
03rmIYJdKHRF58j9AqSr5o97vY03,1,2024-06-13 07:29:00,2024-06-13 07:29:00,1,1.0
042z9yFi54fYMIKydMeN7cD5Uey1,1,2024-06-04 18:34:00,2024-06-04 18:34:00,1,1.0
049240zfFDRXEmfLbtPFlESONAr1,2,2022-03-18 01:09:00,2022-03-18 02:38:00,1,1.0
04PvnvwOxveY4mjbvZ6Qp5IlZsG2,1,2022-03-25 11:17:00,2022-03-25 11:26:00,1,1.0
04tOLBmrqFYgzE520rhyNZphzPd2,1,2022-10-07 00:49:00,2022-10-07 00:49:00,1,1.0
04z47QEacAcscN0qAXHStxDsgGs2,1,2022-10-05 18:26:00,2022-10-06 21:22:00,2,1.0
053f4WEE2GhJfXJxFIpuADmHYVu2,2,2023-10-30 16:39:00,2023-10-30 16:44:00,1,1.0
057FgPtNDYRbJhA5KvZQWonDJ6E2,1,2022-03-02 01:26:00,2022-03-02 02:12:00,1,1.0
05AfE1oB5vY6EbPqEjkdR9o0s4D3,1,2024-06-28 16:00:00,2024-07-01 00:58:00,3,1.0
05BfzO6dvqV0USOeEXazkJzNXg72,1,2023-10-17 15:27:00,2023-10-17 15:27:00,1,1.0
05LATWALFUMz1ZtHTTiyACZ0OfX2,1,2022-03-21 08:01:00,2022-03-21 08:01:00,1,1.0
05SytsLoHIRYv3m9yACSpXDz3443,1,2024-09-12 17:29:00,2024-09-12 17:48:00,1,1.0
05hYQlT4t6NcmAJERG6zbAKc0s93,1,2022-09-30 13:56:00,2022-09-30 17:19:00,1,1.0
05oqMtn7FuMKUdxCqvXbhpmlvx22,1,2023-05-17 13:44:00,2023-05-17 13:46:00,1,1.0
05rEWyZLfpgjKzpOQcoE3bUyAKE3,1,2024-07-28 10:27:00,2024-07-28 10:27:00,1,1.0
0639DNElC7VE2Puh8mQfyjSDgX63,3,2022-04-13 15:10:00,2022-06-01 15:38:00,50,1.584962500721156
064lDAWIeog8QsDleOJMjOW5Fm13,1,2022-03-31 10:24:00,2022-03-31 10:25:00,1,1.0
065R85yEGLUHE4KHApMsV6YFj7d2,1,2024-11-14 19:12:00,2024-11-14 19:26:00,1,1.0
066JM5aBlEWYqyIowXpqBe7ku7F2,1,2024-10-27 19:59:00,2024-10-27 19:59:00,1,1.0
06DUPOyYn3fi63T1uL3TcAaQ0s92,1,2022-03-03 15:22:00,2022-03-03 15:33:00,1,1.0
06KM0JWyAuVmZS37FdD7gQc8pAr1,1,2024-09-26 18:19:00,2024-09-26 18:54:00,1,1.0
06PHnLvOTmgKszVFyn6MEhAG9lM2,1,2024-08-23 11:42:00,2024-08-23 11:42:00,1,1.0
06qDtklumIVJxv7nRsp0L9GfeOZ2,1,2023-09-19 16:55:00,2023-09-19 18:04:00,1,1.0
06rUk9ahEugeU9746wqswMRf3fy1,1,2023-10-13 18:05:00,2023-10-13 18:05:00,1,1.0
06sWbGU3GTaQO9tGUnnVVelkN6W2,2,2022-10-04 18:16:00,2022-10-17 21:08:00,14,1.0
06zlZIvouPUSuXwGvJhvAoKLaFz2,1,2024-10-18 17:49:00,2024-10-18 18:06:00,1,1.0
071FWVeblrMgbe5kfcW3t0ekNe92,1,2022-03-28 16:23:00,2022-03-28 16:23:00,1,1.0
074YIhMvSYTF04LtjZp3dxfDrSM2,2,2022-04-02 03:13:00,2022-04-02 04:13:00,1,1.0
078grURTkGPnWMJSypUHBxdhEJm2,1,2024-11-09 18:09:00,2024-11-09 18:11:00,1,1.0
