project_id,name,project_details,look_for,project_type,organization_name,image,created,custom_options,tile_server_names,status,area_sqkm,geom,centroid,progress,number_of_users,number_of_results,number_of_results_progress,day
-Mtnp5Rlx5n_tF5KNdjF,"OSM building validation - Nyaruguru, Rwanda (1) American Red Cross","**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute.  \n\n BREAK\n\n *Project description* \n\n Nyaruguru, Rwanda was mapped as part of a Missing Maps project in 2014 to support programs for disaster risk reduction. Help us understand the quality of the OSM building data in the area using more recently available satellite imagery. Have buildings been torn down or changed? The results will be used to help evaluate if the area should be re-mapped.",,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FScreen%20Shot%202022-01-19%20at%202.23.02%20PM.png?alt=media&token=f31e6213-d7f9-4a7d-a63b-b684a58911f1,2022-01-19 19:36:58.148985,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{bing},finished,97.82684769005108,"POLYGON((29.5202637 -2.8223442,29.6411133 -2.8223442,29.6411133 -2.7565044,29.5202637 -2.7565044,29.5202637 -2.8223442))",POINT(29.580688500000004 -2.7894243),1.0,317.0,76915.0,59460.0,2022-01-31 00:00:00
-MuXd2mFqlt3W1UqA9v1,"OSM building validation - Harare, Zimbabwe (1) American Red Cross","**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n **Project description** \n\n A part of Harare, Zimbabwe was mapped in 2014 to support programs for urban resilience. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.",buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FScreen%20Shot%202022-01-28%20at%204.41.12%20PM.png?alt=media&token=84dd333a-3646-4f0e-9915-b5aa78e7b13b,2022-01-28 21:47:11.913797,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{maxar_premium},finished,82.04482860338975,"POLYGON((30.9090552 -17.8687944,30.9951726 -17.8687944,30.9951726 -17.7875932,30.9090552 -17.7875932,30.9090552 -17.8687944))",POINT(30.9521139 -17.8281938),0.9977368454139688,559.0,159853.0,158710.0,2022-03-01 00:00:00
-Mv4SEfo6NwzCqy6YGby,"Public Health - Beitbridge, Zimbabwe (1) Médecins Sans Frontières","Welcome to a new type of project to validate building footprints! To contribute, you must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. Beitbridge is in southwestern Zimbabwe, where Médecins Sans Frontières responds to a variety of different health needs, such as medical care to people living with HIV/AIDS.",Buildings,2,Médecins Sans Frontières,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FCapture.JPG?alt=media&token=366c9fa1-c06f-4b4b-bc17-28f51bd44d0b,2022-02-04 16:02:07.22108,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{maxar_premium},finished,1141.7072436144715,"POLYGON((30.216407 -22.3320381,30.7143697 -22.3320381,30.7143697 -22.1312,30.216407 -22.1312,30.216407 -22.3320381))",POINT(30.46538835 -22.231619049999995),1.0,103.0,18639.0,15168.0,2022-02-13 00:00:00
-Mx0_479a3w9FD9oMv5o,OSM Building Validation  - Tanzania (1) American Red Cross,**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n **Project description** \n\n A part of rural Tanzania was mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.,building,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2Ftanzania.png?alt=media&token=83f6032e-2553-481b-b4e5-947b70e62323,2022-02-28 18:28:52.508898,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{maxar_premium},finished,1346.1991910585632,"POLYGON((31.4888766 -3.5132601,31.9779613 -3.5132601,31.9779613 -3.2892628,31.4888766 -3.2892628,31.4888766 -3.5132601))",POINT(31.733418949999997 -3.40126145),0.999698464614415,1477.0,390427.0,368005.0,2022-03-15 00:00:00
-Mx1EYoYRWMpdXez_lwY,"OSM Building Validation - Ushirombo, Tanzania (1) American Red Cross",**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n** Project description** \n\n A part of rural Tanzania was mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.,buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FUshirombo.png?alt=media&token=78f6bedc-7cd9-43af-82ff-68e057307a80,2022-02-28 21:31:06.607387,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{maxar_premium},finished,732.7993503796387,"POLYGON((31.7643046 -3.560615,32.0128986 -3.560615,32.0128986 -3.3207144,31.7643046 -3.3207144,31.7643046 -3.560615))",POINT(31.888601599999998 -3.4406647),0.999587987038295,1086.0,292904.0,269298.0,2022-03-18 00:00:00
-MxAnVlFaZRuajTY0WO2,"Public Health - Ouaka, Central African Republic (1) Médecins Sans Frontières","Welcome to a new type of project to validate building footprints! To contribute, you must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. In the Ouaka province in the Central African Republic, MSF teams provide consultations in hospitals and health centres, and support a network of community health workers. A better map of the region will help the teams to understand the exact situation in the area and will allow them to make rough population estimations.",Buildings,2,Médecins Sans Frontières,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FMSF192967(High).jpg?alt=media&token=50797a82-2944-42b7-96a6-81120cdb42ea,2022-03-02 18:08:20.735203,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{maxar_premium},finished,143.97389720943832,"POLYGON((20.5004218 5.7838928,20.5926859 5.7838928,20.5926859 5.9113109,20.5004218 5.9113109,20.5004218 5.7838928))",POINT(20.546553850000002 5.84760185),1.0,75.0,9067.0,7443.0,2022-03-04 00:00:00
-MxuKEABaIRO1bvsDGpM,"OSM Building Validation - Masasa, Tanzania (1) American Red Cross",**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n **Project description** \n\n A part of rural Tanzania was mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.,buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FMasasa%2C%20TZ.png?alt=media&token=cc9daee6-551c-4b07-ba60-7849c043ec3f,2022-03-11 18:58:59.541524,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{maxar_premium},finished,27.522644362145424,"POLYGON((31.4992098 -3.3560708,31.5490442 -3.3560708,31.5490442 -3.3111289,31.4992098 -3.3111289,31.4992098 -3.3560708))",POINT(31.524127000000004 -3.33359985),1.0,1840.0,414364.0,39361.0,2022-03-23 00:00:00
-MxuOcF64p72sywz07h6,"OSM Building Validation - Caracol, Haiti (1) American Red Cross","**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n **Project description** \n\n A part of Caracol, Haiti was mapped in 2015 to support local program mapping of individual communities. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.",buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FCaracol%2C%20Haiti.png?alt=media&token=165a228b-8d8a-465c-aa89-9854b3886a5a,2022-03-11 19:14:13.613185,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{bing},finished,155.79613876582718,"POLYGON((-72.065999 19.636189,-71.9213396 19.636189,-71.9213396 19.7289725,-72.065999 19.7289725,-72.065999 19.636189))",POINT(-71.99366930000001 19.68258075),1.0,133.0,27274.0,24003.0,2022-03-17 00:00:00
-MyHuIPUp1dUGxL624Iw,"OSM Building Validation - Dar es Salaam, Tanzania (1) American Red Cross",**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n** Project description** \n\n Areas of urban Dar es Salaam were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.,buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FKeko%2C%20TZ.png?alt=media&token=c1e06e14-dfad-4eaa-817a-91e5ef83c5eb,2022-03-16 13:27:52.587604,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{bing},finished,44.42066764685965,"POLYGON((39.2383884 -6.9154286,39.2809856 -6.9154286,39.2809856 -6.8301132,39.2383884 -6.8301132,39.2383884 -6.9154286))",POINT(39.259687 -6.8727709),1.0,1134.0,390549.0,202230.0,2022-03-23 00:00:00
-MyHxnqRUnxW71eGLs1t,"OSM Building Validation - Khayelitsha, South Africa (1) American Red Cross",**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n** Project description** \n\n Parts of the township of Khayelitsha in Cape Town were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.  ,buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FKhayelitsha%2C%20South%20Africa.png?alt=media&token=559af981-7ea4-41e5-bac7-b29972c7a1fe,2022-03-16 13:44:04.423337,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{esri},finished,3.653698184129715,"POLYGON((18.6896389 -34.0658755,18.714958 -34.0658755,18.714958 -34.0517839,18.6896389 -34.0517839,18.6896389 -34.0658755))",POINT(18.70229845 -34.05882969999999),1.0,422.0,96775.0,71316.0,2022-03-23 00:00:00
-Myiz41plx7m5ya_JlCf,"OSM Building Validation - Leyte, Philippines (1) American Red Cross","**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n **Project description** \n\n A part of Leyte, Philippines was mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.",buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2Fleyte.png?alt=media&token=9d971f2c-1c60-4c77-8f0b-27ca5b796972,2022-03-22 00:21:07.560397,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{bing},finished,2255.5872545496445,"POLYGON((124.8161344 10.0329362,125.0049603 10.0329362,125.0049603 11.0195663,124.8161344 11.0195663,124.8161344 10.0329362))",POINT(124.91054735 10.526251249999998),1.0,2432.0,768128.0,571935.0,2022-04-02 00:00:00
-Myj30YKB4H3uUKBkzbq,"OSM Building Validation - Campeche, Haiti (1) American Red Cross","**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n **Project description** \n\n A part of Campeche, Haiti was mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.",buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2Fcampeche%2C%20haiti.png?alt=media&token=c19432b1-c18e-44a5-bf7c-87b95b52e861,2022-03-22 00:43:37.836657,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{bing},finished,1.9362117317428589,"POLYGON((-72.3442729 18.5183711,-72.3276827 18.5183711,-72.3276827 18.5283571,-72.3442729 18.5283571,-72.3442729 18.5183711))",POINT(-72.3359778 18.5233641),1.0,443.0,79241.0,57540.0,2022-03-24 00:00:00
-MyqhHsmKI4yslxt35hn,"OSM Building Validation - Onaville, Haiti (1) American Red Cross","**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n **Project description** \n\n Areas of Onaville, Haiti were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.",buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2Fonaville%2C%20Haiti.png?alt=media&token=298b0bdf-d9e9-41fd-8e12-7773c365037f,2022-03-23 12:17:49.287202,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{esri},finished,24.04523885828972,"POLYGON((-72.258243 18.6484945,-72.1846734 18.6484945,-72.1846734 18.6764822,-72.258243 18.6764822,-72.258243 18.6484945))",POINT(-72.22145819999999 18.66248835),1.0,966.0,312479.0,155092.0,2022-03-28 00:00:00
-Myqil9aiaaATmFoxL8_,"OSM Building Validation - Huaquillas, Ecuador (1) American Red Cross","**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n **Project description** \n\n Areas of Huaquillos, Ecuador were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.",buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FHuaquillas%2C%20Ecuador.png?alt=media&token=e67e7e58-91a8-4c3e-9ee8-5f6a9c66ffc7,2022-03-23 12:24:02.695639,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{bing},finished,51.18238111744976,"POLYGON((-80.2562991 -3.5128954,-80.1924857 -3.5128954,-80.1924857 -3.4476179,-80.2562991 -3.4476179,-80.2562991 -3.5128954))",POINT(-80.22439239999999 -3.48025665),0.9953493568705222,788.0,179091.0,142540.0,2022-10-12 00:00:00
-MzMQbpl8xF-cT0yE0H5,"OSM Building Validation - Dar es Salaam, Tanzania (1) American Red Cross",**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n** Project description** \n\n Parts of Dar es Salaam were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.,buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2Fdar%202.png?alt=media&token=e063878b-d577-438e-9210-d7735d29ecae,2022-03-29 20:48:27.409812,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{esri},finished,65.09075918715953,"POLYGON((39.2134139 -6.8576778,39.2798391 -6.8576778,39.2798391 -6.7775172,39.2134139 -6.7775172,39.2134139 -6.8576778))",POINT(39.24662649999999 -6.817597500000001),0.9957090955446491,1610.0,797290.0,781084.0,2022-04-22 00:00:00
-MzQ7oPk1CNAN66Po142,"OSM Building Validation - Anse-d'Hainault, Haiti (1) American Red Cross","**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n **Project description** \n\n Areas of Anse d'Hainault, Haiti were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.",buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2Fdhainault.png?alt=media&token=91c12b8e-e5b1-4e37-9a74-0c28a22817a2,2022-03-30 14:06:18.676462,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{maxar_premium},finished,179.2184555724716,"POLYGON((-74.4750763 18.4189829,-74.307373 18.4189829,-74.307373 18.5103913,-74.4750763 18.5103913,-74.4750763 18.4189829))",POINT(-74.39122465 18.464687099999995),1.0,306.0,64800.0,61360.0,2023-05-02 00:00:00
-MzQC3aU6HEP6r-oNRbG,"OSM Building Validation - Khayelitsha, South Africa (Area 2) (1) American Red Cross",**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n** Project description** \n\n Parts of the township of Khayelitsha in Cape Town were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.  ,buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FKhayelitsha%2C%20South%20Africa.png?alt=media&token=eafd645b-fcb6-4217-aaf3-0a98a9d6446f,2022-03-30 14:26:37.945431,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{esri},finished,0.2658607507052422,"POLYGON((18.6539336 -34.0262357,18.6585744 -34.0262357,18.6585744 -34.0206438,18.6539336 -34.0206438,18.6539336 -34.0262357))",POINT(18.656254 -34.02343975),1.0,92.0,24248.0,22210.0,2022-04-01 00:00:00
-MzQE0f5HRdwAheBxqNR,"OSM Building Validation - Khayelitsha, South Africa (Area 3) (1) American Red Cross",**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n** Project description** \n\n Parts of the township of Khayelitsha in Cape Town were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.  ,buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FKhayelitsha%2C%20South%20Africa.png?alt=media&token=0b02a3e0-7107-47ec-afa5-28e3269f062c,2022-03-30 14:31:55.007815,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{esri},finished,6.844524416189194,"POLYGON((18.6506135 -34.0448097,18.6735379 -34.0448097,18.6735379 -34.0156638,18.6506135 -34.0156638,18.6506135 -34.0448097))",POINT(18.6620757 -34.03023675),1.0,707.0,313821.0,274220.0,2022-04-07 00:00:00
-MzQGLRXHkiPtemstALI,"OSM Building Validation - Khayelitsha, South Africa (Area 4) (1) American Red Cross",**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n** Project description** \n\n Parts of the township of Khayelitsha in Cape Town were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.  ,buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FKhayelitsha%2C%20South%20Africa.png?alt=media&token=9c0808ab-bef0-42ec-b8a5-4b289ac091e0,2022-03-30 14:42:56.60692,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{esri},finished,9.334091801864624,"POLYGON((18.6552948 -34.0651868,18.688404 -34.0651868,18.688404 -34.0376596,18.6552948 -34.0376596,18.6552948 -34.0651868))",POINT(18.6718494 -34.0514232),1.0,437.0,162740.0,157430.0,2022-04-17 00:00:00
-MzQIPLlTb-U__5rTuG0,"OSM Building Validation - Khayelitsha, South Africa (Area 5) (1) American Red Cross",**New project type!** \n\n Welcome to a new type of project to validate building footprints. You must be on the newest app version (2.1.8). Please use the tutorial to learn how to contribute. \n\n** Project description** \n\n Parts of the township of Khayelitsha in Cape Town were mapped in 2015 to support disaster risk reduction programming. Help us understand the quality of the OSM building data in the area. The results will be used to help evaluate if the area should be re-mapped.  ,buildings,2,American Red Cross,https://firebasestorage.googleapis.com/v0/b/msf-mapswipe.appspot.com/o/projectImages%2FKhayelitsha%2C%20South%20Africa.png?alt=media&token=4ec81283-289e-4e60-a6e4-1a9ca05c34b2,2022-03-30 14:53:58.427003,"[{""value"": 0}, {""value"": 1}, {""value"": 2}, {""value"": 3}]",{esri},finished,3.860649671157837,"POLYGON((18.6313035 -34.018144,18.6576995 -34.018144,18.6576995 -34.0038696,18.6313035 -34.0038696,18.6313035 -34.018144))",POINT(18.6445015 -34.011006800000004),0.002513416208138,3.0,370.0,370.0,2022-04-07 00:00:00
